iter	Passed	Remaining
876	66041	9262
877	66113	9186
878	66193	9112
879	66271	9037
880	66332	8959
881	66401	8883
882	66478	8808
883	66557	8733
884	66633	8658
885	66700	8582
886	66775	8506
887	66853	8431
888	66923	8356
889	66993	8280
890	67081	8206
891	67150	8130
892	67232	8055
893	67307	7980
894	67380	7905
895	67453	7829
896	67524	7753
897	67605	7678
898	67669	7602
899	67733	7525
900	67801	7449
901	67867	7373
902	67943	7298
903	68024	7223
904	68096	7148
905	68174	7073
906	68258	6998
907	68352	6925
908	68432	6850
909	68507	6775
910	68591	6701
911	68686	6627
912	68778	6553
913	68868	6479
914	68948	6405
915	69030	6330
916	69128	6257
917	69218	6182
918	69302	6108
919	69385	6033
920	69479	5959
921	69566	5885
922	69649	5810
923	69742	5736
924	69820	5661
925	69910	5586
926	70005	5512
927	70105	5439
928	70188	5364
929	70270	5289
930	70357	5214
931	70437	5139
932	70516	5063
933	70627	4990
934	70694	4914
935	70762	4838
936	70839	4762
937	70924	4687
938	71007	4612
939	71087	4537
940	71194	4463
941	71277	4388
942	71362	4313
943	71439	4237
944	71524	4162
945	71605	4087
946	71689	4012
947	71778	3937
948	71851	3861
949	71942	3786
950	72023	3710
951	72126	3636
952	72204	3560
953	72300	3486
954	72408	3411
955	72492	3336
956	72594	3261
957	72678	3186
958	72780	3111
959	72871	3036
960	72957	2960
961	73043	2885
962	73129	2809
963	73221	2734
964	73313	2659
965	73436	2584
966	73542	2509
967	73620	2433
968	73770	2360
969	73865	2284
970	73953	2208
971	74062	2133
972	74156	2057
973	74270	1982
974	74452	1909
975	74571	1833
976	74666	1757
977	74752	1681
978	74846	1605
979	74935	1529
980	75039	1453
981	75204	1378
982	75335	1302
983	75422	1226
984	75570	1150
985	75699	1074
986	75845	998
987	76006	923
988	76107	846
989	76201	769
990	76288	692
991	76362	615
992	76446	538
993	76529	461
994	76605	384
995	76680	307
996	76751	230
997	76835	153
998	76944	77
999	77031	0
